date,instance_id,instance_type,cpu_avg,memory_avg,network_in,network_out,cost_usd
2024-01-01,i-00006704,c5.large,56.86,62.11,6.2914,3.1783,2.3308
2024-01-02,i-00006704,c5.large,60.05,73.84,3.8686,2.047,2.324
2024-01-03,i-00006704,c5.large,62.75,71.53,5.36,4.0277,2.4597
2024-01-04,i-00006704,c5.large,51.3,49.56,1.5592,0.8687,2.1498
2024-01-05,i-00006704,c5.large,60.52,71.39,6.1268,2.5763,2.2268
2024-01-06,i-00006704,c5.large,23.38,36.93,0.5626,0.7174,2.1328
2024-01-07,i-00006704,c5.large,24.4,29.09,0.0,0.0,1.979
2024-01-08,i-00006704,c5.large,51.505,55.54,3.138,3.5279,2.343
2024-01-09,i-00006704,c5.large,52.29,50.26,5.1077,3.0038,2.2101
2024-01-10,i-00006704,c5.large,50.76,56.8,7.355,2.2063,2.2506
2024-01-11,i-00006704,c5.large,65.87,68.93,8.3097,1.5314,2.1173
2024-01-12,i-00006704,c5.large,43.99,53.27,0.5861,0.6862,2.1546
2024-01-13,i-00006704,c5.large,35.24,47.55,0.0,1.3197,2.1319
2024-01-14,i-00006704,c5.large,24.24,37.77,0.9908,0.0,2.0102
2024-01-15,i-00006704,c5.large,57.25,73.69,6.6717,2.1542,2.1692
2024-01-16,i-00006704,c5.large,72.03,98.47,4.0383,5.1023,2.4875
2024-01-17,i-00006704,c5.large,49.76,45.47,1.5635,0.5838,2.1917
2024-01-18,i-00006704,c5.large,54.05,69.19,4.8747,2.1351,2.2609
2024-01-19,i-00006704,c5.large,56.47,72.42,8.0135,5.5433,2.5097
2024-01-20,i-00006704,c5.large,20.76,29.62,0.5369,0.6346,2.1183
2024-01-21,i-00006704,c5.large,25.08,25.5,1.1768,0.0,1.9863
2024-01-22,i-00006704,c5.large,51.505,79.42,4.1344,2.701,2.3199
2024-01-23,i-00006704,c5.large,53.76,74.35,4.9315,3.0428,2.3201
2024-01-24,i-00006704,c5.large,75.14,83.2,5.6091,1.6114,2.2057
2024-01-25,i-00006704,c5.large,49.17,55.19,3.7277,0.8934,2.2611
2024-01-26,i-00006704,c5.large,47.99,51.57,0.936,5.7863,2.4765
2024-01-27,i-00006704,c5.large,35.21,32.21,2.1753,2.7059,2.2667
2024-01-28,i-00006704,c5.large,26.32,56.8,0.0,0.5965,2.1083
2024-01-29,i-00006704,c5.large,58.77,73.92,5.6143,3.1351,2.2719
2024-01-30,i-00006704,c5.large,51.505,61.94,5.3141,1.6292,2.2038
2024-01-31,i-00006704,c5.large,64.53,57.58,1.7425,4.809,2.3904
2024-02-01,i-00006704,c5.large,57.11,68.53,4.5486,2.5836,2.3728
2024-02-02,i-00006704,c5.large,53.11,67.03,3.6595,0.0211,2.1477
2024-02-03,i-00006704,c5.large,27.86,32.67,0.0772,0.5592,2.1269
2024-02-04,i-00006704,c5.large,28.99,46.32,2.0083,1.6907,2.1965
2024-02-05,i-00006704,c5.large,62.92,63.59,4.8769,5.1397,2.6393
2024-02-06,i-00006704,c5.large,42.42,35.33,2.4746,4.6062,2.4031
2024-02-07,i-00006704,c5.large,55.26,62.89,5.3028,4.7259,2.2959
2024-02-08,i-00006704,c5.large,55.58,81.64,0.3364,1.9915,2.1139
2024-02-09,i-00006704,c5.large,57.95,60.26,6.6007,4.7425,2.4842
2024-02-10,i-00006704,c5.large,21.64,26.47,1.5817,1.6347,2.1789
2024-02-11,i-00006704,c5.large,22.07,36.86,2.1902,0.7106,2.158
2024-02-12,i-00006704,c5.large,59.43,78.91,0.791,5.69,2.5604
2024-02-13,i-00006704,c5.large,42.18,37.0,1.8924,2.933,2.3231
2024-02-14,i-00006704,c5.large,36.52,50.47,4.0737,3.0538,2.2688
2024-02-15,i-00006704,c5.large,61.08,86.28,3.6933,2.9577,2.363
2024-02-16,i-00006704,c5.large,59.17,50.11,6.7987,0.0,1.9493
2024-02-17,i-00006704,c5.large,22.31,32.91,1.3931,1.7566,2.1935
2024-02-18,i-00006704,c5.large,24.4,36.45,0.1772,0.21,2.004
2024-02-19,i-00006704,c5.large,61.43,80.22,6.0857,1.6129,1.7383
2024-02-20,i-00006704,c5.large,50.16,43.29,2.891,3.3674,2.3662
2024-02-21,i-00006704,c5.large,65.57,58.37,7.8995,2.9769,2.3345
2024-02-22,i-00006704,c5.large,57.79,75.28,5.104,3.3546,2.2825
2024-02-23,i-00006704,c5.large,54.79,55.73,1.2925,0.0,2.0119
2024-02-24,i-00006704,c5.large,31.72,29.69,2.0847,0.629,2.1083
2024-02-25,i-00006704,c5.large,23.53,26.51,1.2234,3.275,2.4351
2024-02-26,i-00006704,c5.large,59.65,66.92,3.4612,3.9084,2.4395
2024-02-27,i-00006704,c5.large,57.93,60.58,4.3335,4.6385,2.4327
2024-02-28,i-00006704,c5.large,43.04,52.22,2.1648,0.0,2.0067
2024-02-29,i-00006704,c5.large,51.505,62.17,1.6832,2.6799,2.2753
2024-03-01,i-00006704,c5.large,57.76,50.66,6.9479,5.7731,2.4914
2024-03-02,i-00006704,c5.large,24.06,29.1,3.1454,0.911,2.2216
2024-03-03,i-00006704,c5.large,21.36,36.84,0.0,1.3186,2.233
2024-03-04,i-00006704,c5.large,48.71,45.09,4.7741,2.3551,2.2412
2024-03-05,i-00006704,c5.large,46.93,59.36,4.9246,3.4626,2.4952
2024-03-06,i-00006704,c5.large,52.54,58.13,1.8685,1.4101,2.1886
2024-03-07,i-00006704,c5.large,48.88,55.85,3.9181,1.5979,2.1961
2024-03-08,i-00006704,c5.large,54.46,50.7,5.1745,0.5906,2.1715
2024-03-09,i-00006704,c5.large,26.06,56.8,0.9826,0.0,2.1622
2024-03-10,i-00006704,c5.large,21.74,39.8,0.0,0.9597,2.021
2024-03-11,i-00006704,c5.large,51.61,63.36,5.0581,0.0,2.0047
2024-03-12,i-00006704,c5.large,49.98,69.74,6.0659,3.4821,2.3914
2024-03-13,i-00006704,c5.large,56.88,74.39,3.2295,1.0117,2.1465
2024-03-14,i-00006704,c5.large,66.61,89.08,6.4581,2.6431,1.3246
2024-03-15,i-00006704,c5.large,46.68,72.61,9.7355,1.9023,2.1906
2024-03-16,i-00006704,c5.large,24.07,30.45,1.9695,0.0,2.1656
2024-03-17,i-00006704,c5.large,23.54,29.48,0.0,0.9437,2.2427
2024-03-18,i-00006704,c5.large,68.34,61.53,6.7557,2.3384,2.3323
2024-03-19,i-00006704,c5.large,41.46,51.22,2.9161,2.161,2.1262
2024-03-20,i-00006704,c5.large,50.82,70.13,5.1132,1.6305,2.2416
2024-03-21,i-00006704,c5.large,74.06,86.73,6.2088,5.4728,2.6276
2024-03-22,i-00006704,c5.large,51.52,53.74,7.9144,2.0988,2.2499
2024-03-23,i-00006704,c5.large,28.18,39.82,0.4605,0.0,1.984
2024-03-24,i-00006704,c5.large,28.76,23.85,1.4624,2.0141,2.1606
2024-03-25,i-00006704,c5.large,53.23,58.5,6.3184,1.2374,1.2963
2024-03-26,i-00006704,c5.large,60.49,73.56,5.192,5.27,2.4014
2024-03-27,i-00006704,c5.large,66.69,71.75,3.4177,1.8518,2.2105
2024-03-28,i-00006704,c5.large,53.5,75.73,6.5366,4.3523,2.2678
2024-03-29,i-00006704,c5.large,64.5,66.69,6.0095,5.1831,2.5453
2024-03-30,i-00006704,c5.large,21.53,24.86,0.0,2.796,2.3697
2024-03-31,i-00006704,c5.large,27.83,43.04,3.1878,1.5815,2.224
2024-04-01,i-00006704,c5.large,40.73,34.2,0.7866,5.1323,2.6039
2024-04-02,i-00006704,c5.large,65.81,60.05,3.4685,17.4574,7.0947
2024-04-03,i-00006704,c5.large,62.15,57.48,5.7108,3.1634,2.3142
2024-04-04,i-00006704,c5.large,45.0,49.41,0.0298,2.3341,2.3216
2024-04-05,i-00006704,c5.large,55.31,61.57,5.7852,3.772,2.458
2024-04-06,i-00006704,c5.large,20.27,28.38,0.8274,0.0997,2.018
2024-04-07,i-00006704,c5.large,25.87,33.46,1.78,0.0,2.128
2024-04-08,i-00006704,c5.large,57.55,45.02,0.9991,3.3163,2.3302
